1423,"Chorioret les xenon coag","Destruction of chorioretinal lesion by xenon arc photocoagulation"
1424,"Chorioret les laser coag","Destruction of chorioretinal lesion by laser photocoagulation"
1425,"Chorioret les p/coag NOS,"Destruction of chorioretinal lesion by photocoagulation of unspecified type"
1426,"Chorioret les radiother","Destruction of chorioretinal lesion by radiation therapy"
1427,"Chorioret les rad implan","Destruction of chorioretinal lesion by implantation of radiation source"
1429,"Chorioret les destr NEC,"Other destruction of chorioretinal lesion"
1431,"Retinal tear diathermy","Repair of retinal tear by diathermy"
1432,"Retinal tear cryotherapy","Repair of retinal tear by cryotherapy"
1433,"Retinal tear xenon coag","Repair of retinal tear by xenon arc photocoagulation"
1434,"Retinal tear laser coag","Repair of retinal tear by laser photocoagulation"
1435,"Retina tear photocoa NOS,"Repair of retinal tear by photocoagulation of unspecified type"
1439,"Retinal tear repair NEC,"Other repair of retinal tear"
1441,"Scleral buckle w implant","Scleral buckling with implant"
1449,"Scleral buckling NEC,"Other scleral buckling"
1451,"Detach retina-diathermy","Repair of retinal detachment with diathermy"
1452,"Detach retina-cryotherap","Repair of retinal detachment with cryotherapy"
1453,"Detach retina xenon coag","Repair of retinal detachment with xenon arc photocoagulation"
1454,"Detach retina laser coag","Repair of retinal detachment with laser photocoagulation"
1455,"Detach ret photocoag NOS,"Repair of retinal detachment with photocoagulation of unspecified type"
1459,"Repair retina detach NEC,"Other repair of retinal detachment"
146,"Remov pros mat post seg","Removal of surgically implanted material from posterior segment of eye"
1471,"Anterior remov vitreous","Removal of vitreous"
1472,"Vitreous removal NEC,"Other removal of vitreous"
1473,"Anterior mechan vitrect","Mechanical vitrectomy by anterior approach"
1474,"Mech vitrectomy NEC,"Other mechanical vitrectomy"
1475,"Vitreous substitut injec","Injection of vitreous substitute"
1479,"Vitreous operation NEC,"Other operations on vitreous"
1481,"Imp epiretinal prosth","Implantation of epiretinal visual prosthesis"
1482,"Rem epiretinal prosth","Removal of epiretinal visual prosthesis"
1483,"Rev/repl epiretinal pros","Revision or replacement of epiretinal visual prosthesis"
149,"Other post segment ops","Other operations on retina"
1501,"Extraoc musc-tend biopsy","Biopsy of extraocular muscle or tendon"
1509,"Extraoc musc dx proc NEC,"Other diagnostic procedures on extraocular muscles and tendons"
1511,"One extraoc mus recess","Recession of one extraocular muscle"
1512,"1 extraoc muscl advance","Advancement of one extraocular muscle"
1513,"1 extraoc muscl resect","Resection of one extraocular muscle"
1519,"Xtraoc mus op/detach NEC,"Other operations on one extraocular muscle involving temporary detachment from globe"
1521,"Lengthen 1 extraoc musc","Lengthening procedure on one extraocular muscle"
1522,"Shorten 1 extraoc musc","Shortening procedure on one extraocular muscle"
1529,"Op on 1 extraoc musc NEC,"Other operations on one extraocular muscle"
153,"Temp detach >1 xtroc mus","Operations on two or more extraocular muscles involving temporary detachment from globe"
154,"Oth op on >l extraoc mus","Other operations on two or more extraocular muscles"
155,"Extraocul mus transposit","Transposition of extraocular muscles"
156,"Revis extraoc musc surg","Revision of extraocular muscle surgery"
157,"Extraoc musc inj repair","Repair of injury of extraocular muscle"
159,"Oth extraoc mus-tend op","Other operations on extraocular muscles and tendons"
1713,"Lap ing hern-graft NOS,"Laparoscopic repair of inguinal hernia with graft or prosthesis"
1721,"Lap bil dir ing hrn-grft","Laparoscopic bilateral repair of direct inguinal hernia with graft or prosthesis"
1722,"Lap bi indir ing hrn-grf","Laparoscopic bilateral repair of indirect inguinal hernia with graft or prosthesis"
1723,"Lap bi dr/ind ing hrn-gr","Laparoscopic bilateral repair of inguinal hernia"
1724,"Lap bil ing hern-grf NOS,"Laparoscopic bilateral repair of inguinal hernia with graft or prosthesis"
1731,"Lap mul seg res lg intes","Laparoscopic multiple segmental resection of large intestine"
1732,"Laparoscopic cecectomy","Laparoscopic cecectomy"
1733,"Lap right hemicolectomy","Laparoscopic right hemicolectomy"
1734,"Lap res transverse colon","Laparoscopic resection of transverse colon"
1735,"Lap left hemicolectomy","Laparoscopic left hemicolectomy"
1736,"Lap sigmoidectomy","Laparoscopic sigmoidectomy"
1739,"Lap pt ex lrg intest NEC,"Other laparoscopic partial excision of large intestine"
1601,"Orbitotomy w bone flap","Orbitotomy with bone flap"
1602,"Orbitotomy w implant","Orbitotomy with insertion of orbital implant"
1609,"Orbitotomy NEC,"Other orbitotomy"
161,"Remove penetrat FB eye","Removal of penetrating foreign body from eye"
1621,"Ophthalmoscopy","Ophthalmoscopy"
1622,"Diagnostic asp of orbit","Diagnostic aspiration of orbit"
1623,"Eyeball & orbit biopsy","Biopsy of eyeball and orbit"
1629,"Eyebal/orbit dx proc NEC,"Other diagnostic procedures on orbit and eyeball"
